Barbecued Chicken,Red Peppers,Green Peppers,Tomatoes,Red Onions,Barbecue Sauce,Chicken,Artichoke,Spinach,Garlic,Jalapeno Peppers,Fontina Cheese,Gouda Cheese,Mushrooms,Asiago Cheese,Alfredo Sauce,Pesto Sauce,Corn,Cilantro,Chipotle Sauce,Pineapple,Thai Sweet Chilli Sauce,Bacon,Pepperoni,Italian Sausage,Chorizo Sausage,Sliced Ham,Mozzarella Cheese,Capocollo,Goat Cheese,Oregano,Anchovies,Green Olives,Kalamata Olives,Feta Cheese,Beef Chuck Roast,Brie Carre Cheese,Prosciutto,Caramelized Onions,Pears,Thyme,ï¿½Nduja Salami,Pancetta,Friggitello Peppers,Calabrese Salami,Genoa Salami,Prosciutto di San Daniele,Arugula,Coarse Sicilian Salami,Luganega Sausage,Onions,Soppressata Salami,Artichokes,Peperoncini verdi,Provolone Cheese,Smoked Gouda Cheese,Romano Cheese,Blue Cheese,Ricotta Cheese,Gorgonzola Piccante Cheese,Parmigiano Reggiano Cheese,Eggplant,Zucchini,Sun-dried Tomatoes,Plum Tomatoes
101,607,172,863,623,101,330,81,298,851,226,99,81,279,82,30,87,146,146,146,173,104,124,276,40,40,70,344,199,117,51,26,162,76,131,36,11,11,11,11,11,25,25,25,52,31,40,40,56,56,56,19,163,66,52,52,52,52,98,98,98,25,62,52,20
86,459,171,797,538,86,237,60,253,832,146,85,60,263,95,25,68,86,86,86,145,77,97,266,37,37,68,326,212,117,40,51,192,79,128,44,7,7,7,7,7,18,18,18,47,49,38,38,70,70,70,26,159,77,42,42,42,42,96,96,96,22,65,38,15
66,462,120,704,492,66,261,69,234,731,178,100,69,235,84,30,80,109,109,109,142,70,102,247,25,25,72,306,170,95,31,21,145,80,107,41,8,8,8,8,8,16,16,16,38,38,27,27,73,73,73,32,157,64,44,44,44,44,66,66,66,26,56,51,22
106,550,178,843,638,106,301,83,269,831,199,116,83,280,104,42,65,116,116,116,148,78,118,290,38,38,70,327,220,131,44,36,162,116,146,61,9,9,9,9,9,27,27,27,50,40,33,33,53,53,53,33,182,87,51,51,51,51,65,65,65,24,62,50,33
93,577,159,864,634,93,301,63,238,812,199,87,63,254,100,31,62,136,136,136,173,106,108,285,30,30,67,317,225,127,58,42,156,109,143,60,5,5,5,5,5,28,28,28,52,47,41,41,44,44,44,24,155,69,45,45,45,45,67,67,67,24,55,41,26
78,529,163,863,630,78,289,85,294,864,215,116,85,273,100,17,65,131,131,131,154,82,111,284,22,22,72,294,215,116,36,39,163,122,147,66,7,7,7,7,7,26,26,26,43,57,26,26,63,63,63,32,177,81,42,42,42,42,63,63,63,19,74,51,30
74,494,154,794,551,74,260,71,259,805,182,98,71,255,70,11,83,111,111,111,138,72,125,292,39,39,66,315,205,105,30,30,177,97,129,54,3,3,3,3,3,21,21,21,60,40,25,25,59,59,59,28,160,76,56,56,56,56,72,72,72,29,71,38,25
91,463,151,731,548,91,227,55,226,723,153,70,55,224,88,24,75,99,99,99,137,56,99,252,27,27,81,303,182,87,38,27,158,84,111,47,8,8,8,8,8,24,24,24,57,39,37,37,61,61,61,16,136,49,36,36,36,36,69,69,69,27,61,36,12
80,446,154,741,516,80,247,84,274,788,180,115,84,251,85,25,92,97,97,97,137,59,103,277,36,36,78,321,208,121,35,36,148,81,108,40,11,11,11,11,11,12,12,12,53,35,27,27,38,38,38,32,201,87,36,36,36,36,76,76,76,31,67,58,16
74,490,137,822,543,74,299,86,272,859,189,122,86,246,82,23,81,104,104,104,201,97,114,306,44,44,104,418,205,124,46,32,158,108,145,65,12,12,12,12,12,31,31,31,41,41,35,35,62,62,62,36,180,78,54,54,54,54,86,86,86,25,58,59,25
93,465,168,733,558,93,244,65,256,717,153,77,65,253,71,18,54,89,89,89,146,81,117,290,32,32,65,295,189,103,28,33,165,79,119,32,10,10,10,10,10,26,26,26,56,31,31,31,58,58,58,13,154,76,42,42,42,42,63,63,63,12,51,44,24
82,442,137,753,574,82,227,67,252,793,154,100,67,258,79,28,63,87,87,87,131,57,115,256,40,40,74,328,202,107,38,29,183,113,161,65,7,7,7,7,7,30,30,30,65,32,41,41,61,61,61,33,157,70,53,53,53,53,64,64,64,24,54,44,29
73,484,142,791,574,73,281,81,274,804,207,105,81,261,92,25,54,127,127,127,147,83,105,273,38,38,65,297,212,110,46,33,190,80,124,36,9,9,9,9,9,20,20,20,66,36,34,34,67,67,67,25,148,65,38,38,38,38,68,68,68,16,51,38,15
67,439,129,731,531,67,257,77,232,763,191,96,77,209,69,29,66,115,115,115,128,63,101,233,41,41,66,295,183,106,30,45,165,75,100,45,6,6,6,6,6,32,32,32,50,29,40,40,59,59,59,20,142,77,53,53,53,53,53,53,53,13,48,42,19
74,445,144,771,560,74,260,88,313,804,188,115,88,262,102,29,66,100,100,100,147,71,90,240,25,25,77,287,179,101,32,41,183,107,142,41,12,12,12,12,12,26,26,26,43,36,29,29,64,64,64,27,184,69,44,44,44,44,63,63,63,19,60,60,30
67,479,133,775,520,67,313,89,260,801,194,118,89,229,83,24,84,105,105,105,170,95,91,260,23,23,75,320,193,106,37,34,154,94,118,55,6,6,6,6,6,24,24,24,48,41,28,28,60,60,60,29,157,69,51,51,51,51,66,66,66,23,51,46,20
90,490,161,803,593,90,236,72,270,817,169,107,72,266,73,19,84,97,97,97,141,71,129,282,39,39,71,322,213,120,46,33,168,111,141,59,7,7,7,7,7,29,29,29,63,31,39,39,49,49,49,35,191,74,31,31,31,31,81,81,81,26,62,68,29
81,557,162,864,596,81,308,68,275,826,209,107,68,289,92,24,70,142,142,142,158,95,112,300,31,31,63,331,216,131,50,37,173,87,126,33,13,13,13,13,13,37,37,37,41,45,48,48,66,66,66,40,173,81,58,58,58,58,49,49,49,17,54,51,31
73,465,132,756,541,73,276,84,277,809,181,104,84,249,93,22,62,97,97,97,147,84,110,284,34,34,64,334,195,107,40,25,158,102,147,53,10,10,10,10,10,20,20,20,45,44,42,42,67,67,67,20,159,67,56,56,56,56,77,77,77,24,57,40,21
75,508,165,809,569,75,263,67,250,814,192,84,67,253,93,25,54,125,125,125,153,82,109,293,38,38,72,324,211,131,40,43,154,93,126,40,4,4,4,4,4,33,33,33,30,51,20,20,59,59,59,18,179,91,58,58,58,58,82,82,82,24,74,46,35
74,460,130,711,546,74,254,72,251,712,182,99,72,236,80,22,63,111,111,111,144,71,123,273,41,41,74,301,161,93,32,42,144,108,126,58,5,5,5,5,5,12,12,12,40,28,32,32,40,40,40,28,149,61,42,42,42,42,59,59,59,15,47,43,20
102,467,172,703,525,102,259,88,259,739,179,105,88,226,59,22,69,92,92,92,147,73,98,233,33,33,75,306,160,92,32,30,144,62,99,26,8,8,8,8,8,37,37,37,46,22,33,33,54,54,54,18,134,61,56,56,56,56,65,65,65,19,51,41,22
54,484,128,792,590,54,313,89,285,827,203,109,89,279,96,33,69,114,114,114,164,87,107,292,29,29,77,331,211,101,36,36,202,94,144,47,4,4,4,4,4,24,24,24,72,38,39,39,73,73,73,21,159,65,39,39,39,39,74,74,74,28,61,41,22
78,451,153,777,570,78,258,85,289,800,188,120,85,270,82,19,71,103,103,103,134,66,116,283,39,39,68,297,209,109,36,43,187,93,134,46,6,6,6,6,6,20,20,20,61,40,38,38,61,61,61,35,172,74,28,28,28,28,64,64,64,16,53,58,24
74,441,134,741,525,74,234,61,236,753,160,78,61,220,79,24,67,99,99,99,140,74,89,251,27,27,66,299,172,98,36,36,167,101,139,57,10,10,10,10,10,21,21,21,40,35,29,29,73,73,73,17,154,62,56,56,56,56,54,54,54,25,56,47,24
75,452,138,652,490,75,263,61,235,635,154,75,61,231,78,34,49,93,93,93,140,75,87,240,26,26,65,292,143,88,51,32,143,83,118,41,11,11,11,11,11,15,15,15,34,22,33,33,53,53,53,15,101,37,38,38,38,38,66,66,66,7,38,36,19
79,517,158,820,570,79,273,70,263,802,191,97,70,275,82,20,74,121,121,121,184,92,121,296,34,34,92,352,216,113,40,22,182,98,137,49,10,10,10,10,10,16,16,16,63,40,44,44,67,67,67,28,179,73,54,54,54,54,65,65,65,28,64,56,27
79,500,152,769,560,79,309,72,272,758,185,91,72,251,86,23,80,114,114,114,165,87,117,309,34,34,78,351,163,90,20,39,152,98,129,46,12,12,12,12,12,27,27,27,32,41,43,43,63,63,63,20,160,71,53,53,53,53,69,69,69,20,54,48,31
53,315,85,514,401,53,188,53,176,517,127,73,53,159,63,24,42,74,74,74,105,44,63,169,17,17,62,223,112,60,32,43,141,69,81,29,1,1,1,1,1,20,20,20,38,14,20,20,44,44,44,20,94,28,24,24,24,24,49,49,49,12,27,28,16
98,572,166,854,617,98,307,76,237,820,204,103,76,278,81,35,71,128,128,128,168,98,123,296,31,31,70,349,191,112,51,38,185,94,136,61,12,12,12,12,12,29,29,29,48,32,37,37,72,72,72,28,148,62,51,51,51,51,77,77,77,27,55,46,19
52,370,100,606,423,52,204,50,193,655,145,76,50,186,66,11,60,96,96,96,120,60,88,235,32,32,61,322,159,82,31,30,143,69,92,25,6,6,6,6,6,17,17,17,46,32,43,43,52,52,52,27,135,51,40,40,40,40,89,89,89,28,47,32,21
69,493,139,761,538,69,267,58,243,761,159,96,58,267,83,21,66,101,101,101,170,95,118,289,35,35,75,346,171,98,36,42,164,85,114,42,9,9,9,9,9,25,25,25,38,36,42,42,65,65,65,38,147,62,45,45,45,45,67,67,67,24,67,35,17
62,427,134,693,503,62,224,64,206,725,154,85,64,224,75,22,63,90,90,90,120,63,95,248,21,21,57,287,193,104,30,34,148,85,103,48,5,5,5,5,5,28,28,28,54,36,25,25,44,44,44,22,152,74,42,42,42,42,77,77,77,30,66,32,20
53,377,102,635,421,53,231,60,173,625,151,77,60,182,91,22,44,91,91,91,142,77,99,256,35,35,65,280,148,73,27,41,141,73,84,44,5,5,5,5,5,26,26,26,25,50,39,39,57,57,57,17,104,47,38,38,38,38,66,66,66,10,29,29,11
78,503,127,817,612,78,298,75,263,793,204,93,75,230,90,30,71,129,129,129,144,83,107,288,28,28,62,306,189,98,33,37,183,122,157,64,8,8,8,8,8,32,32,32,51,41,37,37,75,75,75,18,160,65,36,36,36,36,61,61,61,17,39,60,39
87,462,146,742,563,87,274,80,274,749,184,102,80,227,102,36,66,104,104,104,138,63,94,265,37,37,75,316,209,94,36,27,173,90,122,34,9,9,9,9,9,21,21,21,70,45,42,42,59,59,59,22,154,58,42,42,42,42,55,55,55,18,54,56,35
96,491,159,778,574,96,278,72,250,753,188,94,72,208,74,22,63,116,116,116,165,83,95,243,31,31,82,311,190,102,26,32,151,91,110,45,10,10,10,10,10,32,32,32,56,34,30,30,53,53,53,22,152,76,38,38,38,38,65,65,65,12,54,46,27
105,586,179,981,681,105,293,83,281,979,214,107,83,272,89,20,88,132,132,132,185,98,132,309,36,36,87,369,226,130,46,43,206,115,155,72,10,10,10,10,10,42,42,42,46,50,48,48,102,102,102,25,197,84,55,55,55,55,79,79,79,31,73,63,25
87,470,161,731,526,87,255,65,226,722,166,84,65,223,68,27,76,101,101,101,168,81,94,250,32,32,88,318,173,84,29,40,176,71,98,38,6,6,6,6,6,18,18,18,62,28,33,33,62,62,62,20,134,56,28,28,28,28,78,78,78,22,56,43,20
67,487,138,801,577,67,279,69,242,780,204,89,69,238,96,25,58,136,136,136,174,87,96,262,28,28,87,299,199,91,18,36,179,85,122,43,12,12,12,12,12,27,27,27,54,54,32,32,72,72,72,21,153,74,26,26,26,26,66,66,66,25,69,38,25
72,480,147,755,537,72,282,93,299,771,183,115,93,243,92,26,82,90,90,90,151,81,98,279,28,28,70,291,183,103,41,29,151,110,133,47,12,12,12,12,12,22,22,22,43,38,35,35,63,63,63,23,182,62,24,24,24,24,58,58,58,33,76,59,35
65,403,114,596,424,65,238,67,221,578,139,77,67,185,55,20,61,72,72,72,152,85,98,225,36,36,68,252,142,86,33,18,115,80,115,35,3,3,3,3,3,20,20,20,33,24,25,25,51,51,51,10,140,54,28,28,28,28,54,54,54,24,49,52,35
48,329,108,503,358,48,175,53,178,525,119,68,53,169,47,12,46,67,67,67,103,54,76,175,23,23,49,215,121,70,32,26,99,54,70,31,5,5,5,5,5,17,17,17,28,24,24,24,34,34,34,16,91,38,22,22,22,22,64,64,64,11,50,31,11
